"net_income","net_wealth"
20655,194000
89000,622079.0999
35200,358500
18500,83730.083908
41390,117000
22900,175985.18462
8450,8492.0289617
24000,303668.27977
24400,210678.41846
6100,264000
62800,437997.14561
21000,5671.7540369
17685,203500
49400,706727.8908
23400,106237.79545
10900,60500
31000,1500
24200,191602.37777
27580,210804.53592
61451.111375,431800
11500,73000
41772.711212,168000
31290,152364.90196
32030,276104.29434
47900,322563.61466
34096,395000
8060,1000
22800,55255.640558
34100,185221.20753
12550,142300
23960,132000
20580,61384.037553
21000,6442.8054541
33200,203000
44100,293628.94804
8000,50000
35200,129725.87189
8900,82500
9750,1000
85000,530664.78124
14000,132993.44553
65200,876000
67350,280240
59400,783000
16400,2159.1951008
52400,498116.59474
25305,342655.00795
62500,337000
26300,225878.91489
18034,205000
15400,63384.607756
10200,56500
45368.364338,221472.02218
28600,43660.79369
23000,26561.60148
28800,262721.70807
21000,136907.69179
18600,151000
18480,10236.116766
11700,300
14386,11500
11550,2018.2804087
29360,205000
25760,95300
31120,40482.755425
34180,383000
21600,5800
38490,210458.71149
16500,190400
27800,1062166.3516
24000,140885.06976
15600,207038.14128
15800,132000
83500,202000
9420,50879.062385
8450,5000
18580,144804.50567
14300,22168.766075
29400,106562.95034
68008.893619,520000
35970,160100
52850,191562.42614
29900,159000
64450,332000
36576,125160
3000,10000
19600,173800
17800,126300
33300,168500
31000,4852.6174972
21088,100
74000,250000
17800,155000
16000,62500
8400,150500
5100,500
50985,397000
80720,1164000
36000,154800
36000,879000
28000,202500
32300,6000
10010,170000
42500,501538.31117
14540,212500
20174,57000
17640,63553.490492
9290,59600
21314,166000
27220,422600
22800,138000
49700,202500
8304,50050
34700,263167.2335
6040,100500
15300,73000
49900,397259.92968
30400,100800
17900,35195.225581
45600,347500
36178.908496,173000
17600,98000
23100,13000
5000,2300
78012,760800
59052,272704.86966
60000,364170.14897
42600,498000
14800,89500
33300,191000
16595,227500
7800,300
42980,287000
25800,133800
107820,948000
71900,575417.32444
32610,246500
47300,294396.3832
34000,15895.796178
28800,82000
16370.929852,46225.175923
23100,272994.63056
42200,185124.80771
16300,252561.12584
35400,4000
15300,85500
44000,871767.77468
110300,767951.20311
103468.58468,569849.46268
32750,197942.60676
21380,97068.462858
72850,462000
7000,350
65400,345000
43000,175404.95428
32000,59500
43200,24500
39370.145394,86500
45800,445000
25800,310500
58740,271000
39000,217200
48430,10000
27400,13500
35800,307929.91306
14000,1663.3131045
25340,78650.656705
19800,35000
39100,656000
17660,3600
20060,14000
27600,218206.23486
10700,81000
33400,922200.04684
49700,284000
25200,277756.7544
31850,5394
34250,688500
24056,3000
29300,358710.39327
43100,307800
14500,3226.21196
42000,42000
56000,939656.19686
52000,450000
4800,200500
32850,184203.85661
8800,38629.111498
4800,201000
21600,251000
6500,5000
24000,99563.708535
7700,230200
16400,351000
16960,5800
14750,9898.0604512
51400,413800
34179,441000
22800,8200
15850,8500
44000,373250
24450,803624.3331
46500,367500
15460,89645.911967
7360,200
22200,704510.98835
10200,31000
21000,10200
66000,783084.93563
53700,151384.20717
7540,9036.1663522
19960,440000
26870,121322.28972
21340,141348.74271
39000,250000
56600,426125.98321
44840,153000
25300,31000
7700,200
41700,327000
36570,279639.58437
25310,52000
22300,8996.6219564
19290,25000
36490,256958.30684
7100,1000
31505,211330
11050,1000
15000,861.21339469
16000,500
20400,208313.39585
41390,505725.78485
29170,211000
9600,103000
64600,365200
7600,150300
10400,1000
30000,251100
8060,2000
37361,804257.76105
48400,257929.29998
18800,201000
24600,131850
32400,188000
33650,290101.32292
24200,80000
12630,203042.20599
15000,500
35700,279000
76000,204378.48843
20500,186526.17422
24700,177500
25500,128000
32435,54193.693937
12220,313300
70000,857800
64230,157000
103240,2150000
42000,174300
55900,340000
21800,185000
51000,550964.27343
41864.344844,24100
45800,291000
11110,60434.349374
26800,223000
36800,199600
39000,7836.7565084
16000,3347.1875597
34150,339610.37508
71700,788900
53100,263000
41846,767000
53300,102000
25400,90901.261725
33200,200204.59604
17290,3524.7664592
17400,1100
56009.669164,701689.71784
38200,157000
16600,160500
57350,450000
38000,12325.091459
17147,12000
62390,213000
23000,188000
30600,270232.71152
20900,185592.49816
29500,35649.887854
23900,63000
29100,283500
19510,316000
15170,67800
26800,167552.96844
87100,490722.21693
35000,325638.14439
7735,3000
45800,707300
45200,1162955.0736
10900,103305.98704
31800,655315.92724
48400,347300
66000,848923.19702
34000,156218.48805
29350,555000
59700,1322000
14800,104041.2031
16465,57191.91286
36293,287532.49491
18000,41000
44800,82566.258371
16300,30000
10200,60100
25490,77413.084303
41670,195000
16290,165000
14050,106951.62599
30000,488000
99160,780798.05181
17400,259144.5178
47300,214220
25450,232140.76976
21700,3349.9487925
8400,150
18580,28500
37800,440562.88094
44557,450000
15400,1250
13000,5720.8962275
15500,165500
75010,458000
47540,335500
22600,465400
33050,232494.34701
33600,44729.885045
54902,297300
27000,16452.118867
38600,338841.32454
11190,30500
20540,155000
94750,864495.75151
15600,6000
66150,345754.35133
17100,141931.12137
47600,356900
62200,280000
64200,569000
34300,218014.44141
19800,147250.13152
15900,190795.47248
22100,1e+05
30700,66240
26000,24695.175993
37403,2e+05
48400,86976.853801
26150,156000
24700,122800
27300,6552.066267
32090,236012.74602
10280,88748.15489
17200,102300
33600,130000
27700,622799.79362
3600,182000
30000,312000
28800,120000
24430,155000
42000,14000
36000,337320.10839
62700,192528.65453
9600,1000
14500,200
12600,100
29144,431000
34000,238367.98463
19800,2658.7477375
26900,163006.66034
83345,918728.80073
3000,250000
20400,304572.45888
36000,174025.28431
42700,423000
1e+05,9100
18470,132000
55616,316000
65850,725770.49379
32000,203390.86662
33279,109757.26012
12200,89478.292267
52000,256166.88927
20300,30000
25400,1000
41200,236500
26500,163000
21600,250100
15400,500
79600,530384.34327
14550,13758.407428
69100,618500
47350,444500
42200,396000
16600,193729.90451
15600,106000
27300,249800
15600,65548.071584
30000,236566.38879
12200,101000
23090,305404.19928
12600,15996.381559
35220,1363500
24700,152000
80900,2278900
32900,111800
9350,82066.170124
200700,11811646.584
20400,251000
18100,260241.95231
39800,339026.93201
34880,303500
29010,115090.82167
35500,265151.03533
37201,804442.32655
14200,3000
9470,50000
15140,11749.787227
36585,290000
34200,223869.1753
58040,284250
19200,700
43200,214500
15310,150100
22900,121843.14403
21900,100200
20002,31887.144228
25000,142000
153600,1338726.0633
11350,120100
40000,157500
12440,90947.900538
19600,301055.72618
37200,310236.36846
19000,14929.947098
11900,95000
22600,229500
44000,194500
49200,589200
12600,170858.38745
25500,301000
38500,775500
33500,218785.14086
16940,51000
39550,7000
8240,41000
31600,1058927.1882
51800,11000
23800,191000
22400,83000
28000,175500
25600,200500
97200,191011
35650,781779.54353
41520,184000
19000,1000
31600,513500
13189,302500
28600,467807.96516
18600,142000
40700,290000
24600,253741.72221
41200,57510.678884
16850,85168.092875
29390,88239.168058
24220,606294.56241
22050,2679.7876389
41350,302000
51840,390000
25300,1370
32502,572521.63684
16000,3000
12730,4982.6273858
22000,5306.0072553
31800,2012000
26400,85000
21900,90000
24000,401409.85142
39940,284000
12000,6000
27800,61230.491587
53200,231000
31700,462000
36000,161700
23590,132710.62906
15200,96164.161377
13000,2500
9600,400
67400,1115372.1603
48300,53000
34700,222341.71938
27400,154412.10939
14050,18635.555807
36264.370304,395291.84186
5980,17000
42210,202500
26400,304200
15600,33918.837284
43100,97000
101759,925601.27012
44241,496500
49200,268423.65232
22000,7346.8737499
15000,2000
16500,707347.17923
25500,151961.52434
26900,80000
26290,139500
61440,405000
15500,51400
20200,4000
20062.466279,900
76600,530784.13653
16300,222781.70574
22130,264271.73743
14490,46771.759592
32000,12424.923443
57300,512000
9500,121118.22637
7050,3000
40500,360735.15468
58700,198200
40500,73062.939988
16610,143000
77690,1039372.7635
47600,330000
7800,3551.0743161
39100,412700
14300,4000
10400,4000
14560,51574.541435
13800,65000
24800,164459.91757
46800,146186.69287
13000,500
54000,251600
21000,2000
56100,682220
21180,102
45562.742852,216300
44600,136000
21600,435300
43200,140420.80264
38000,146000
34200,82407.621941
14500,18000
13400,87835.587915
45800,551500
49400,489500
8400,80000
29000,33000
73400,1621932.0728
20000,140584.21853
8970,1800
40700,264680.95678
25221,215149.44318
29260,158535
18200,74000
19200,153063.15946
19110,4500
26890,387000
22000,29500
32000,16757.481689
39208,352000
12200,101000
36350,333817.61113
56000,166497.02726
23900,35000
35200,372269.41543
26100,51100
31900,136608.85545
36200,372000
13140,158300
23900,234400
38000,351000
71521.330902,661389.10463
21200,200250
10100,7010.6665138
29200,342473.16045
18200,7371.5946543
30600,332232.41065
39000,11332.62736
46800,326008.82408
23370.513422,302620.42082
14100,68000
40090,530000
22900,253499.14094
19069,4100
20670,179000
11440,75000
22800,100
34050,17000
24000,110100
24800,411000
38820,115000
9490,3660.4026209
15302,186500
11100,101000
28200,142000
56750,12500
55600,421100
50960,626675.49277
25200,125553.51885
8814,9121.4099265
59200,30000
19800,450500
24000,501000
26100,170000
20530,12311.318768
26700,72721.796231
28300,960000
55100,356000
37680,163550.62261
5850,50
26610,295000
9600,2000
23550,149622.39868
28800,138000
34000,2e+05
36700,97263.112553
58800,127069.48022
24300,109766.24794
23300,202000
14000,101000
7800,242961.55725
40000,27300
15200,143655.33177
15000,5300
88400,1655460.7423
55700,210500
6500,154500
58380,30500
16270,3000
55710,330870.42344
19669,6200
39500,419487.15972
19200,155000
24400,223000
75800,1792225.6815
20760,193951.15157
4800,145000
103700,636137.42146
11310,4295.3720403
28500,215256.64112
49200,885000
45900,535000
17000,1000
29100,255000
47900,296000
183100,4320000
83730,852668.65402
37050,38000
9600,1200
28800,340281.5097
4800,4000
18200,153344.08212
40960,298458
46000,302326.27091
33450,171764.72032
12598,270000
36000,952500
47820,614722.90691
12220,1000
18600,122660.65762
28800,133200
39000,18404.878927
30000,161769.48533
20300,1200
30200,12500
11700,5413.5723973
90700,636275.14292
26400,135145.8373
55100,342990.79284
62698,373000
21600,50359.003295
17730,1500
23000,252679.63581
16400,125209.87541
57960,328163.05305
18860,1e+05
46500,907918.91048
7200,1040.3172842
42600,239125.31712
41524,304000
19689,166000
21500,323026.52225
41650,216286.83786
11700,2007.3542176
65500,451376.32605
10020,5500
20000,93100
11017,5500
27700,123000
37200,265149.74363
41290,287200
35500,152137.92912
14300,5000
66800,616321.10166
22000,325000
15600,1000
37920,283000
18000,336927.53496
31200,4649.4926178
16700,118092.15878
17790,2500
36200,4000
34750,213699.95571
54120,362442.2626
63400,508000
15830,220600
31000,1000
45500,181575.19206
25500,46100
21390,194792.24885
70350,847093.96411
40300,51000
14700,53300
23100,185000
24000,1655.0543393
34800,12974.518371
112610,520000
29060,299500
9500,27300
22900,14000
19400,151000
11240,1500
43650,522000
20244,207300
31900,297132.64362
35700,152000
38800,105281.80992
31000,137000
7760,35000
11310,2000
12540,69000
18390,268010.37839
14500,342600
93350,946427.77462
16670,11393.245481
24814,685000
28490,272000
14000,100
44150,197848.64932
42500,830040.16652
8040,60200
67548.878471,1152660
9100,1904.3209264
42090,23040.992925
28100,143676.994
14400,38000
43910,885668.92252
21750,405051.66668
14800,60500
21600,140700
29600,140000
39600,617216.96069
44020,94053.156027
22750,42767.289425
6000,200
35900,224753.89038
45755,121000
65500,522527.38075
43500,287100
10960,126242.40454
21500,192500
26000,251000
35900,57591.669322
17100,120000
13200,500
54939.352135,602000
18900,234233.42531
30600,239300
53400,96000
34400,121900
23200,59902.558326
74400,343180.18896
49550,583200
67450,367000
42200,218000
40800,132000
15000,5400
28220,410000
29100,206696.49911
36000,25000
26800,60000
45784,303000
51200,246500
69200,490000
39000,340122.79946
21600,42281.389197
48180,349046.49074
13530,85295.054718
75890,306000
28889,336167.18073
28100,22000
28200,477000
30050,415450.83381
21000,170135.02631
36600,211702.49277
7200,1000
102200,668000
61900,1423932.7338
37550,402000
21700,103708.33947
18100,205300
29780,198500
50876,336404.29299
40880,359000
12000,1855.7119662
51190,113180.48472
28600,153000
34400,3000
34850,657719.80996
27000,226658.7372
23000,69673.755037
31700,215500
14500,1079.9000506
21640,180800
53400,250906.84741
32370,226195.83631
19800,501861.09499
41200,227928.24599
27400,89000
44200,225000
29880,1176344.6869
28200,202584.26132
34900,204862.8117
47700,530000
22210,366280.6404
73300,424382.98664
25210,103828.24115
21600,167100
4160,2000
22726,32701.909706
36000,105000
19500,12000
65000,224300
16322,104263.02798
24050,306919.21115
30900,205000
22300,138703.00891
35486,270000
22550,676548.58384
32600,126977.54538
40190,215000
87000,232600
41000,274268.80281
